slug,cmc_rank,volume_24h,percent_change_7d,market_cap,'binance-smart-chain','collectibles-nfts','defi','mineable',circulating/total_supply,price
wazirx,5.454545454545455,0.036743174748158025,13.772968286031707,0.49250348252815396,0.0,0.0,0.0,0.0,0.7125344928252212,1.121475641961484
medibloc,5.491651205936921,0.021277331295034393,14.264774011228829,0.4927221362118837,0.0,0.0,0.0,0.0,1.534706364941662,0.06620274437272665
verge,5.528756957328387,0.02853097134836062,14.026994344405821,0.49100660499800103,0.0,0.0,0.0,100.0,2.194893571598742,0.021546698674121657
bakerytoken,5.565862708719852,0.07693626165481951,15.02639073861551,0.48895027731489116,100.0,100.0,100.0,0.0,1.4658705746011,1.8271219343091487
injective-protocol,5.602968460111318,0.04387059631238834,14.957010048701765,0.4823375026315964,100.0,0.0,100.0,0.0,0.7166835708384683,10.681789167508125
wink,5.6400742115027835,0.09783541267265573,13.91745650224264,0.4722228909609121,100.0,0.0,0.0,0.0,1.6908507683540386,0.0004456544696905713
bitcoin-diamond,5.677179962894249,0.008546212236420011,12.704239098595325,0.45764338343233696,0.0,0.0,0.0,100.0,2.1601429430418646,1.774659362717484
myneighboralice,5.714285714285714,0.3128669038195188,18.683868755081765,0.46215829324964947,0.0,100.0,0.0,0.0,0.5047442617931341,14.531585811961332
gatetoken,5.75139146567718,0.008903519279794077,13.482563210287763,0.4563679873800576,0.0,0.0,0.0,0.0,0.5562870239165172,4.340073395271137
conflux-network,5.788497217068646,0.04279357309799012,11.779837399732425,0.4532362239286138,0.0,0.0,0.0,100.0,2.194893571598742,0.32571078895011935
ontology-gas,5.862708719851578,0.04970488289924472,13.783831051222425,0.4466062625509127,0.0,0.0,0.0,0.0,0.5728561558252283,1.2373248458509647
civic,5.899814471243043,0.1384330213753636,12.842069639386969,0.4429110039726462,0.0,0.0,0.0,0.0,1.4705438673963387,0.47807038858611917
ardor,6.011131725417441,0.030908089307383865,13.8755939914072,0.429244465329009,0.0,0.0,0.0,0.0,2.194893571598742,0.3107346428465215
rlc,6.0482374768089056,0.03807462843969838,15.337222292021082,0.41658054124912647,0.0,0.0,100.0,0.0,2.020075545571604,3.7624882167752203
function-x,6.085343228200371,0.003442963691849061,11.714062599265652,0.4181768014371166,0.0,0.0,0.0,0.0,2.194893571598742,0.7402808677576805
origin-protocol,6.122448979591837,0.05882603725016099,14.350362749844166,0.4149532692667799,0.0,100.0,100.0,0.0,0.772129294818288,0.8529713842504244
stormx,6.196660482374768,0.030710601197935023,14.158956835585522,0.4014580702751373,0.0,0.0,0.0,0.0,2.194893571598742,0.029032910141854405
status,6.233766233766234,0.024383972267111965,13.912007805613461,0.4015914161439094,0.0,0.0,0.0,0.0,1.1193440105746586,0.08368445226413555
constellation,6.2708719851577,0.00779889796933211,10.224092006322238,0.39889117653656925,0.0,0.0,0.0,0.0,0.74905167004654,0.22769756943043004
venus,6.307977736549166,0.047145572163785045,14.079411010855654,0.39345642305627193,100.0,0.0,100.0,0.0,0.8231638344762539,25.321359389075997
energy-web-token,6.345083487940632,0.003780586827781167,13.752872991342791,0.39253614551363736,0.0,0.0,0.0,0.0,1.3565629071299286,9.443004907925497
band-protocol,6.382189239332097,0.05830425295810319,14.144374702422999,0.3925616931865016,100.0,0.0,100.0,0.0,0.7723546234609721,8.067084460354048
stratis,6.419294990723563,0.021229539671469115,13.182532769328324,0.37814780342017634,0.0,0.0,0.0,0.0,2.194893571598742,2.0118714960392516
prometeus,6.4564007421150285,0.018701006442660133,13.836235461930192,0.3848942573392986,100.0,0.0,0.0,0.0,1.8756209747051207,16.920998948048645
reef,6.493506493506494,0.05074014435333947,14.043217056575488,0.3836738181300989,100.0,0.0,100.0,0.0,1.9033304680639365,0.02008090849847045
hive-blockchain,6.530612244897959,0.06297859179071036,13.883313556318877,0.36287377333273885,0.0,0.0,0.0,0.0,2.194893571598742,0.642504294382345
enzyme,6.567717996289425,0.048541978614111164,14.223294900387225,0.35630715193170487,0.0,0.0,100.0,0.0,2.1567553485360724,143.73365009332178
augur,6.604823747680891,0.11862971718459707,14.814950593495038,0.3541198182268175,0.0,0.0,100.0,0.0,2.194893571598742,23.281352729255904
cartesi,6.641929499072357,0.03509552172694888,14.194172260215433,0.3560037128731186,100.0,0.0,0.0,0.0,0.8958874279897491,0.6307175676111926
orbs,6.679035250463823,0.02313129467867205,13.78575217747997,0.3549102906085932,0.0,0.0,0.0,0.0,0.4893684068172622,0.11509965541977166
bitmax-token,6.716141001855288,0.005130517068559712,11.968099912740485,0.3524091457687201,0.0,0.0,0.0,0.0,1.8574675677652102,0.38578846225658986
casper,6.753246753246754,0.03534570449405548,14.36181196899297,0.3428985238352206,0.0,0.0,0.0,0.0,0.47898025484736273,0.1094500647288697
maidsafecoin,6.79035250463822,0.0013944956422635298,15.410863996653854,0.3357479414050914,0.0,0.0,0.0,0.0,2.194893571598742,0.5365315568066118
gemini-dollar,6.8274582560296855,0.016612338498062068,13.008931547555584,0.311607590804349,0.0,0.0,0.0,0.0,2.194893571598742,0.9986370004293814
nkn,6.8645640074211505,0.011369938410565194,13.873437759293157,0.3068950111481467,0.0,0.0,0.0,100.0,2.194893571598742,0.3170610001485731
orchid,6.901669758812616,0.05501124309866011,12.895477854663056,0.30575638492244944,0.0,0.0,0.0,0.0,1.5159585827360726,0.3201425213914918
ark,6.938775510204082,0.020432979025528115,12.507797194495756,0.29819010383825434,0.0,0.0,0.0,0.0,1.8098152680627315,1.63156605483298
metal,6.975881261595548,0.06625976848830963,14.469626258584496,0.29322137282559013,0.0,0.0,0.0,0.0,2.194893571598742,3.1845276747457025
dero,7.012987012987013,0.001659416930048651,12.105829456450014,0.2928782162260544,0.0,0.0,0.0,100.0,1.2999610628712568,19.43520681081004
steem,7.050092764378479,0.012549980578713276,13.450833312695284,0.286709625333748,0.0,0.0,0.0,0.0,2.1044309512221746,0.5250729054942052
tomochain,7.087198515769945,0.019966911232091166,13.319150325005856,0.285186906509121,0.0,0.0,0.0,0.0,1.8946915010651513,2.3891998742270855
funtoken,7.124304267161411,0.028157609363063232,12.682883886028733,0.28249704032751,0.0,0.0,0.0,0.0,2.174929730274221,0.01875180109278471
nucypher,7.161410018552877,0.03720469525519864,13.659204465709266,0.27526295120769,0.0,0.0,0.0,0.0,1.1483589613626413,0.2928531527563534
badger-dao,7.198515769944342,0.030811596435921743,13.755450573520397,0.26758327628924594,0.0,0.0,100.0,0.0,1.0750101086224546,18.81352987243582
request,7.2356215213358075,0.009577447349341189,13.280717682819175,0.2656525149484997,0.0,0.0,100.0,0.0,2.1948935697547247,0.1921395339025367
syscoin,7.272727272727273,0.008086866676605641,12.7063026211524,0.26323152481059386,0.0,100.0,0.0,100.0,2.194893571598742,0.3070538389437991
btc-standard-hashrate-token,7.309833024118739,0.007783800224795639,14.084735624408324,0.25894241133417156,100.0,0.0,0.0,0.0,1.6705973970219337,16.4020675859631
wbnb,7.458256029684602,1.1686892421839072,15.38933043922399,3.2863061549935857,100.0,0.0,0.0,0.0,2.194893571598742,420.0525412517887
counos-x,7.532467532467533,0.008062118161105483,12.921123875751624,2.509177549599107,0.0,0.0,0.0,100.0,2.1280574033626602,101.70146182753444
egoras,7.64378478664193,0.0009500839683340661,13.143576045640174,1.5201517271913725,100.0,0.0,0.0,0.0,1.4431860562807217,0.01687144532805074
ecomi,7.717996289424861,0.008999579301554357,14.366314133015177,1.32996901444627,0.0,100.0,0.0,0.0,0.4865574392535857,0.0057840919272551215
safemoon,7.755102040816327,0.007576432802098924,13.960743073827278,1.2257410698554105,100.0,0.0,0.0,0.0,1.2851462673600258,1.51388819587924e-06
nxm,7.792207792207793,1.3150455199886217e-06,14.640845745061709,1.1574152314942778,0.0,0.0,100.0,0.0,2.103901510802945,126.49829520456142
defichain,7.866419294990724,0.007286800769829654,13.936235102071581,1.014717841905369,0.0,0.0,100.0,0.0,1.1204985104314638,2.4419276531560397
liquity-usd,7.940630797773656,0.0029362041449299643,13.079770598700117,1.0036343217947286,0.0,0.0,100.0,0.0,2.194893571598742,1.0088493961981007
